	sideefects
1536	, abdomen fullness,abdominal fullness
1537	, gums swollen,gum swollen,gums swelling,swollen gums,swelling gum,gums swelled,dental swelling,gum swell,gums swell,swollen gum,gingival swelling,gum swelling,swelling dental
1538	, stomach hemorrhage,gastric bleeding,gastric bleed,bleeding gastric,gastric hemorrhage,bleeds gastric,gastrorrhagia
1539	, colon obstructions,colon occlusion,colon obstruction,colonic obstruction,obstruction colon,occlusion colon
1540	, intestines obstruction small,small intestinal obstruction,obstruction small intestine,bowel obstructions small,small intestine obstruction,bowel obstruction small,small bowel obstruction
1541	, mouth irritation,irritation mouth
1542	, biliary spasm,biliary spasms
1543	, fluid loss,loss of fluid
1544	, hypertonicity
1545	, acetone breath,fruity breath
1546	, ketonaemia,ketonemia
1547	, dependant edema,dependent oedema,dependent edema
1548	, edema swollen ankles,swollen ankle,ankles swell,ankles swelling,ankle oedema,ankles swollen,swelling ankles,swelling ankle,edema ankle,ankle edema,ankle swollen,ankles edema,ankle swelling,ankle swells,ankle swelled,ankles swelled,swollen ankles,ankle swellings,ankle swell,ankles oedema
1549	, renal azotemia
1550	, anginal attack,attack angina,angina attack,anginal attacks,angina attacks
1551	, wide qrs complex,qrs widen
1552	, fibrillation atrial paroxysmal,intermittent atrial fibrillation,paf,atrial fibrillation paroxysmal,paroxysmal atrial fibrillation
1553	, superficial venous thrombosis,superficial vein thrombosis,superficial thrombophlebitis,superficial thrombosis vein
1554	, femoral artery thrombosis,artery femoral thrombosis
1555	, vein disorder,disorders veins,diseases veins,disease venous,vein disease,veins diseases,venous disease,disorder veins,disorder of vein,disease veins,diseases vein,venopathy,disease vein,diseases venous,disorders vein
1556	, failure heart right sided,failure right heart,right ventricular failure,right-sided heart failure,heart failure right side,rvf,right side heart failure,failure heart right,cardiac failure right,failure heart right sides,right heart failure
1557	, peripheral cyanosis
1558	, hypopneas,hypopnea,hypopnoeas,hypopnoea
1559	, subglottic edema
1560	, granuloma lungs,pulmonary granuloma,granulomas pulmonary,granulomas lungs,granuloma lung,granuloma pulmonary,granulomas lung,lung granuloma
1561	, bronchial excessive secretions,excessive sputum
1562	, hemoglobinemia
1563	, hemolytic reactions,reaction hemolytic,haemolytic reaction,hemolytic reaction
1564	, lymphadenopathy cervical,cervical lymphadenopathy
1565	, bleeding tract urinary,urinary tract bleeding,bleeding urinary tract
1566	, loin pain
1567	, abnormality urine,abnormalities urine,urine abnormality,urine abnormal constituent,urine abnormalities,abnormal constituents urine,abnormal constituent urine,urine abnormal,abnormal urine
1568	, breasts large,breast enlargement,large breast,breast enlarged,female breast enlargement,breast enlargement females,breast enlarging,breasts enlarged,breast enlargements,enlarged breasts,breast large,macromastia
1569	, breast edema,breasts edema,edema breast
1570	, breast cancer female,female breast cancer,malignant neoplasm female breast
1571	, cervix lesion,lesion cervix,lesion of cervix,cervix lesions,lesion cervical,cervical lesion,cervical lesions
1572	, galactorrhoea,galactorrhea,galactorrhea syndrome
1573	, odors vaginal,odours vaginal,odor vaginal,vaginal odour,vaginal odor
1574	, back discomfort
1575	, heaviness in limbs,heaviness limbs
1576	, reaction febrile,febrile reactions
1577	, breath holding,breathing interrupted,holding breath,breath hold,breath holds
1578	, nasal perforated septum,nasal perforation septum,nasal septal perforation,perforated nasal septum,septal nasal perforation,nasal septum perforation
1579	, bullous eruption,bullous eruptions
1580	, overdose effect,effect overdose,effects overdose
1581	, fevers newborn,neonatal fever,fever newborn,fever neonatal,newborn fever,fever newborns
1582	, cold clammy skin,clammy cold skin,skin cold clammy
1583	, secondary sepsis,sepsis secondary
1584	, decreased tearing,decreased tears,reduced tear production
1585	, depression aggravated,aggravated depression
1586	, gastric perforation,perforation stomach,stomach perforation
1587	, oedema leg,leg oedema,edema legs,legs edema,edema of leg,leg edema,legs oedema,of leg edema,edema of legs,oedema legs,edema leg
1588	, implant complication,complications implants,implant complications,implantation complication
1589	, pulmonary infiltration,pulmonary infiltrate,infiltration lung,lung infiltration,infiltrates pulmonary,infiltration lungs
1590	, hemorrhage liver,liver hemorrhage,hepatic bleeding,hepatic hemorrhage
1591	, abnormalities skull,skull malformation,deformities skull,skull deformity,cranial deformities,malformations skull,malformation skull
1592	, cerebral atrophy,cortical atrophy,atrophy cortical,atrophy brain,atrophy cerebral,brain atrophy
1593	, low zinc,deficiency zinc,deficiencies zinc,zinc deficiency
1594	, clostridium difficile diarrhoea,clostridium difficile diarrhea
1595	, muscle necrosis,myonecrosis
1596	, carcinoma pancreatic,pancreatic carcinoma,carcinoma pancreas,pancreas carcinoma,carcinoma of pancreas
1597	, blocked salivary duct,blocked ducts salivary,salivary duct obstruction
1598	, low serum iron,serum iron low
1599	, shoulder neck pain,neck pain shoulders,neck pain shoulder,pain neck/shoulder,pain shoulder neck,neck shoulder pain,pain neck shoulder
1600	, jaw pain,jaw pains,pain in jaw,pain jaw,of jaw pain,pain mandibular,mandibular pain,jaws pain
1601	, mucous membrane swelling,mucosal swelling
1602	, auras,aura
1603	, edema throat,pharyngeal edema
1604	, muco-cutaneo-ocular syndrome,oculomucocutaneous syndrome
1605	, gastric polyposis
1606	, membrane mucous ulcers,mucosal sores,mucosal ulceration,mucosal ulcer,mucosal ulcers
1607	, increased haptoglobin,haptoglobin increased,high haptoglobin
1608	, swelling tongue,tongue swell,swollen tongue,swollen tongues,tongue swelling,tongue swollen,swelling of tongue,swells tongue
1609	, pain scrotal,pain in scrotum,pain scrotum,scrotal pain,pains scrotal,scrotum pain
1610	, vagina discomfort,vaginal discomfort,discomfort vagina
1611	, pain in vagina,pain vagina,pain vaginal,vaginal pain,pains vaginal,pains vagina,vagina pain
1612	, burning vaginal,vaginal burning,burns vaginal,vaginal burn
1613	, complications iud,complication iud,intra-uterine device complication
1614	, alcohol withdrawal,alcohol withdrawals,alcohol syndromes withdrawal,alcohol withdrawal syndrome,withdrawal alcohol,alcohol syndrome withdrawal
1615	, acute disorders stress,acute stress disorder,acute stress reaction,acute traumatic stress disorder
1616	, ovarian cyst dermoid,ovarian dermoid cyst,cyst dermoid ovary,cysts dermoid ovary,cysts dermoid ovaries,cyst dermoid ovaries,dermoid cyst ovary,cyst dermoid of ovary,dermoid cyst of ovary,dermoid ovarian cyst,cysts dermoid ovarian
1617	, beats heart irregular,heart beat irregular,heartbeat irregular,irregular heart beat,beats irregular heart,heartbeats irregular,heart irregular,beat heart irregular,irregular heart beats,irregular heartbeat,irregular heartbeats,irregular heart,irregular heart rate
1618	, dyschezia,defecation pain,pain defecation,painful defecation,dyschesia
1619	, skin scale,peeling of skin,desquamation,of skin peeling,peel skin,exfoliation,scaled skin,skin peel,exfoliate,scaling,skin flaking,scales skin,flakes skin,flaking skin,scaling skin,exfoliating,peeling skins,peeling skin,skin desquamation,peels skin,skin exfoliation,skin scaling,skin flake,skin peeling,exfoliated,flake skin
1620	, breast cancer carcinoma male,carcinoma of male breast,breast carcinoma male
1621	, angiitis cerebral,cerebral angiitis,cerebral vasculitis
1622	, cytomegalovirus encephalitis,cmv encephalitis
1623	, gastrointestinal stromal tumor,gastrointestinal stromal tumour,gists,gants,gastrointestinal stromal tumours,gant,gist,gastrointestinal stromal tumors
1624	, iodine poisoning,iodism
1625	, lithium toxicity,lithium toxicities
1626	, chronic interstitial nephritis
1627	, nicotine poisoning,nicotine poison
1628	, anaplastic cancer thyroid,anaplastic thyroid cancer,anaplastic thyroid carcinoma,anaplastic carcinoma thyroid,cancer thyroid undifferentiated,thyroid cancer anaplastic,undifferentiated thyroid cancer
1629	, papillary carcinoma of thyroid,thyroid papillary carcinoma,papillary thyroid carcinoma,papillary carcinoma thyroid,carcinoma papillary thyroid
1630	, aminoacidurias,aminoaciduria
1631	, inflammation of anus,inflamed anus,inflammation anus,anus inflammation,anal inflammation,anus inflammed
1632	, pain in ankle,ankle pain,pain ankle,ankle pains,ankles painful,painful ankle,ankles pain
1633	, breath decrease sound,diminished lung sounds,decreased air entry,decreased breath sounds
1634	, standard chest x-ray normal,chest normal x-ray,normal chest x-ray,chest normal xray,normal chest xray,chest normal ray x,normal chest x ray
1635	, loose cough,producing sputum,coughs productive,productive cough,cough productive,coughing productive
1636	, low creatinine,decreased creatinine,creatinine low
1637	, high pitch cry,crying high pitch,cry high pitched,crying high pitched,high pitched cry
1638	, watery diarrhea,diarrhea watery
1639	, esophageal bleed,bleeding esophageal,esophageal bleeding,esophageal hemorrhage
1640	, candidal esophagitis,candidiasis esophageal,candida esophagitis,candidas esophageal,oesophageal candidiasis,candida esophagus,monilial esophagitis,esophageal thrush,candida oesophagitis,esophageal candida,esophageal candidiasis,esophagitis candida,candidiasis esophagus
1641	, oesophageal obstruction,esophagus obstruction,obstruction esophagus,esophageal obstruction,obstruction oesophagus,esophagus obstructions,esophageal obstructions
1642	, estrogen low,low estrogen,low oestrogen,decreased estrogen
1643	, abnormalities limb,limb deformity,limb deformities,limb abnormalities,extremity deformities
1644	, lower extremities edema,edema extremities lower,edema lower extremity,edema of lower extremities,lower limb edema,oedema lower limb,lower extremity edema,edema of lower extremity,lower limb oedema,oedema of lower limb
1645	, limbs numbness,limb numbness,numbness limbs,numbness extremities,numbness of limbs,extremities numbness,extremity numbness,numbness extremity,numbness of extremities,numbness limb
1646	, lower extremity pain,extremities lower pain
1647	, arm pains,pain in arm,pain in the arms,arm pain,arms pain,painful arm,upper extremity pain,upper limb pain,arms painful,pain arm,arms pains
1648	, extremities paresthesia,limb paresthesia,extremity paresthesia
1649	, numbness of face,facial numbness,numbness face,numbness in face,face numbness,numbness facial,of face numbness
1650	, facial paresthesia,facial paraesthesia,face paresthesias
1651	, rash face,rash on face,facial rash,rash facial,face rash,eruptions facial,face rashs
1652	, fatty foods intolerance,fats intolerance,fat intolerance,fatty food intolerance
1653	, hepaticus fetor,fetor hepaticus,breath liver,liver breath
1654	, pain fingers,pain finger,finger pain,pain in finger,fingers pain,pain in fingers
1655	, foot paresthesia,paresthesia of foot
1656	, pain genital,genitals pain,genital pain
1657	, grimacing,grimace
1658	, groins pains,groin pain,groining pain,inguinodynia,pain groin,groin pains,inguinal pain
1659	, dermatitis hands,hand dermatitis,dermatitis hand,hand eczema,eczema hands,eczema hand
1660	, hand edema,hands edema,edema hands,edema of hand,edema hand
1661	, hands pains,hand painful,hand pain,hands pain,pain in hand,painful hand,hands painful,hand pains
1662	, hand paresthesias,hands paresthesias,hand paresthesia,paresthesia hand
1663	, hands tremor,tremor hand,tremor of hands,hand tremor,hand tremors,tremor hands,hands tremors
1664	, dull headache,headache dull,dull headaches
1665	, high hematocrit,high haematocrit,elevated hematocrit,hematocrits high,hematocrit increased,hematocrit high,hematocrit increasing,increased hematocrit
1666	, hematuria microscopic,microscopic haematuria,microscopic hematuria,microhematuria
1667	, hepatic fibrosis,fibrosis of liver,liver fibroses,fibrosis liver,fibrosis hepatic,liver fibrosis
1668	, hypoalbuminaemia,hypoalbuminemia
1669	, decreased igg,g immunoglobulin low
1670	, recurrent infection,infections recurrent,infection recurrent
1671	, fibrosis interstitial pulmonary,fibrosis interstitial lungs,pulmonary fibrosis interstitial,interstitial pulmonary fibrosis,pulmonary interstitial fibrosis,fibrosis interstitial,interstitial fibrosis,interstitial lung fibrosis
1672	, intraventricular hemorrhage,hemorrhages intraventricular,ventricular haemorrhage,ventricular hemorrhage,intraventricular haemorrhage
1673	, deficiencies iron,iron deficiency,iron deficiencies,deficiency iron
1674	, shift to the left,left shifting wbc,left shift wbc,left shift,left shifting,wbc left shift,left shift of wbc,blood cells left shift white
1675	, leukonychia,leuconychia
1676	, swollen lip,lips swellings,lip swollen,swelling lip,swelling of lips,swollen lips,lip swelling,lips swell,lips swollen,swelling lips,lips swelling,lip swell
1677	, tender lymph node,glands tender,lymph node tenderness,tender gland,lymph nodes tender
1678	, mg reduced,low magnesium
1679	, high magnesium,mg++ increased,increased mg
1680	, delays period,delaying periods,late period,late menses,menstruation delay,delay menstruation,period late,delay periods,delaying menses,delayed periods,delay period,delaying period,late periods,delaying menstruation,delayed menstruation,late menstrual period,delayed period,delay menses,delayed menses
1681	, metallic tastes,metallic taste,taste metallic
1682	, muscle mass,muscle bulk,mass muscle,form muscle,masses muscle
1683	, neck edema,edema neck
1684	, nipples painful,painful nipple,nipple pain,nipples pain,pain nipple
1685	, nipple swelling,nipples swelling,nipples swelled
1686	, nipple tenderness,nipples tenderness
1687	, nasal inflammation,nasal irritation,nose irritation,irritations nose
1688	, nose pain,pain in nose
1689	, elevated ptt,increased ptt,ptt prolonged,prolonged ptt
1690	, perineal tear,perineal laceration,perineal tearing,perineal tears,lacerations perineal
1691	, prostate pain,prostatodynia,pain prostate,prostadynia
1692	, narrowing pressure pulse,narrow pulse pressure,decreasing pressure pulse,narrowed pressure pulse
1693	, rectal lump,masses rectal,rectal mass,lumps rectal,mass rectal
1694	, glands salivary swollen,swollen gland salivary,swollen salivary gland,glands salivary swelling,salivary gland swelling
1695	, itching scalp,itch scalp,scalp itch,scalp itching,pruritus of scalp
1696	, scleral icterus,sclera yellow,sclera yellowing,icteric sclera,scleras yellow,yellow sclera
1697	, sensory ataxia
1698	, cysts skin,dermal cyst,cyst skin,cysts dermal,cutaneous cyst,skin cyst,skin cysts
1699	, pale skin,pallor skin,skin pale
1700	, pustules,skin pustule,pustule,pimple,pustules skin
1701	, skin tenderness,tenderness skin,skin tender,tender skin
1702	, of skin thickening,thickening of skin,thickening skin,skin thickening,skin thickened
1703	, difficulty standing
1704	, stool mucus,feces mucus,mucus in stool,faeces mucus,mucus stool,mucus feces,in stool mucus,stool mucus in,mucus stools
1705	, testosterone low,decreased testosterone,low testosterone
1706	, increased thirst,thirst increased,increase thirst,thirst increase
1707	, burning tongue,burning sensation tongue,glossopyrosis,tongue burning
1708	, decreased tsh
1709	, bleeding from urethra,bleeding urethra,urethra bleeding,urethral bleeding
1710	, vagina cyst,cyst vaginal,cyst vagina,vaginal cyst,cysts vagina,cysts vaginal
1711	, vaginal dryness,dryness vaginal,dryness vagina,dry vagina,vagina dryness
1712	, occlusion veins,venous obstruction,occlusions vein,vein obstruction,occlusion venous,vein occlusion,occlusion vein,occlusions venous,venous occlusion
1713	, difficulty urination,urination difficulty,difficulty urinating,difficulty passing urine,difficulties urination,urinating difficulty,micturition problems,urination problem,difficulty urinary,difficulty urinate,difficulty in urination,difficulty voiding,difficulties urinary,difficulties urinating,problems urination,urinary difficulty
1714	, wound bleeding,hemorrhage wounds,hemorrhage wound,bleeding wound,bleeding wounds
1715	, diabetic,diabetics
1716	, intestinal infarction,infarcts intestinal,bowel infarction
1717	, congestion chest,lung congestion,pulmonary congestion,congestion lungs,congestion pulmonary,chest congestion,congestion lung
1718	, violent
1719	, hypoxia,disorders hypoxia,oxygen deficiency,decrease oxygen,hypoxic,deficiency oxygen
1720	, furuncle,boil,furuncles,boils,furunculus
1721	, dyslipidaemia,dyslipidemia,disorders dyslipidemias,dyslipidemias
1722	, erectile dysfunction,erectile dysfunctions,dysfunction erectile,dysfunctioning erectile,male erectile disorder
1723	, congenital disorder,congenital diseases,congenital disorders,disease congenital,congenital disease
1724	, herniated disk,prolapsed intervertebral disc,disc slipped,intervertebral disc hernia,herniated vertebral disc,slip disk,prolapsed disc,slipped disk,disc herniated,disc prolapses,herniated disc,discs prolapsed,disc herniations intervertebral,disc herniating,discs herniated,intervertebral disc protrusion,disk prolapse,discs intervertebral prolapsed,herniate disk,disk herniated,disc herniate,disc prolapse,intervertebral disc herniation,discs intervertebral slipped,disks herniated,disc slip,discs herniates,herniated disks,disk prolaps,disks slip,disc prolaps,disc intervertebral protrusion,prolapse disc,herniate disc,disc prolapsed,disc herniation intervertebral,prolapse disk,discs slipped,intervertebral disc prolapse,disk slip,disks prolapse,slipped disc,slipped disks,slip disc,discs slip,disc herniates,herniated discs,prolapsed disks,disk herniate,prolapsed disk,disc intervertebral prolapse,disk slipped
1725	, lung cancer of the,lung cancers,lung malignant tumours,cancer of lung,ca lung,lung ca,lung malignancies,lung malignancy,cancer lung,lung malignant tumors,ca lung cancer,cancer pulmonary,lungs cancer,malignant neoplasm lung,ca lungs,cancer lungs,malignant lung neoplasm,pulmonary cancer,of lung cancer,cancer of the lung,lung cancer,cancers lungs,cancers lung
1726	, parkinsonian disorders,parkinsonian syndrome,parkinsonian disease,parkinsonism,parkinsonisms,parkinsonian syndromes
1727	, nonthrombocytopenic purpura,nonthrombocytopenic purpuras
1728	, azotaemia,azotemia
1729	, autoimmune thrombocytopenia
1730	, transmission vertical,vertical transmission
1731	, course illness,courses disease,disease progression,course of illness
1732	, retained placenta,placenta retained
1733	, interactions nutrient,foods interactions,food interaction,interaction food,nutrient interaction,food interactions
1734	, drug food interaction,interaction drug food,drug-food interactions,drug-food interaction,drug interaction with food,drug food interactions,food-drug interactions,interaction drug nutrient,food drug interactions,drug foods interaction,drug interactions nutrient,drugs interaction nutrients,drugs interaction nutrient,drug nutrient interaction,drugs food interactions,drugs interactions nutrient,drugs foods interactions,food-drug interaction,drug interaction food,nutrient drug interaction,food drug interaction,drugs food interaction
1735	, teeth injuries,injury to teeth,tooth injuries,injuries teeth,tooth injury,teeth injury
1736	, fatigue muscles,muscle tiredness,muscle fatigue,fatigue muscle,muscular fatigue
1737	, abdominal abscess,intra abdominal abscess,intra-abdominal abscesses,abdomen abscess,abdominal abscesses intra,intra-abdominal abscess,abdominal abscesses
1738	, problem hearing,hearing disorders,hearing disorder,auditory disorders,hear problems,of hearing disorder,hear problem,hearing problem,disorders hearing,auditory disorder,auditory disturbances
1739	, autonomic imbalance,autonomic instability
1740	, tender breasts,tenderness breast,breast tenderness,tender breast,breasts tender,breast tender,breasts tenderness
1741	, cerebral dysfunction,dysfunction brain,brain dysfunction,brain dysfunctions
1742	, fracture cervical,neck fracture,cervical vertebra fracture,cervical fracture,cervical fractures spine,fracture cervical vertebra,fractures neck,fracture of neck,fracture neck of,cervical fractures,cervical spine fracture,fracture neck
1743	, collagen vascular disease,collagen vascular diseases,vascular collagen disease,collagen disease vascular,vascular disease collagen,collagen-vascular disease,collagen diseases vascular
1744	, compression fracture spine,compression spinal fracture,compression fractures spinal,compression fractures spine,compression fractures of spine,compressed fractures spine,spinal compression fracture,spine compression fracture,compression fracture spinal,compress fracture spine,compressed fracture spine,compression fracture of spine,compressed spine fracture
1745	, gallbladder polyps,polyp gallbladder,polyp of gallbladder,gallbladders polyps,polyps gallbladder,gallbladders polyp,gallbladder polyp
1746	, gangrenous cholecystitis
1747	, nerves paralysis,nerve palsy,nerve palsies,palsy nerve,nerve paralysis,paralysis nerve
1748	, night cramps,cramp night,cramps night,night cramp,cramping night
1749	, mass kidney,renal mass,mass renal,kidneys mass,kidney masses,masses renal,kidney mass
1750	, seroma,seromas
1751	, bigeminy,bigemini,ventricular bigeminy,bigeminies ventricular,ventricular bigemini,bigeminal rhythm
1752	, vulvar abscess,vulva abscess,vulval abscess,abscess vulva
1753	, depigmentation of skin,skin decoloration,skin depigmentation
1754	, vasculitis skin,vasculitis cutaneous,cutaneous vasculitis,vasculitis of the skin,skin vasculitis
1755	, erythema annulare centrifugum,annulare centrifugum erythema
1756	, isomorphic response,koebner phenomenon
1757	, acne neonatorum,neonatal acne,acne neonatal,infantile acne,acne infantile
1758	, rosacea lupoid,perioral dermatitis,dermatitis perioral,disseminatus faciei lupus miliaris
1759	, ingrowing hair,hairs ingrow,hairs ingrowing,hair ingrown,ingrown hair,hairs ingrown
1760	, onychorrhexis
1761	, nail hypertrophy,onychauxis,hypertrophy nails
1762	, loss nail,loss nails,nail loss,onychomadesis
1763	, drug-induced lupus,lupus drug induced,drug induced lupus,lupus drug-induced,drug induced lupus erythematosus
1764	, excessive granulation,exuberant granulation tissue,proud flesh,flesh proud
1765	, cuff rotator syndrome,syndrome rotator cuff,tear rotator cuff,rotator cuff tear,cuff rotator tears,cuff rotator tear,impingement syndrome,rotator cuff syndrome,rotator cuff rupture
1766	, osteodystrophies,osteodystrophy
1767	, nasal ulcer,nose ulcers,nose ulcer,nasal ulcers
1768	, nasal septal ulcers,ulcer of nasal septum,nasal septum ulcer
1769	, ulcerative pharyngitis
1770	, cord disorders vocal,vocal cord disorder,vocal cord disease
1771	, edema glottic,edema of glottis,glottic edema,glottic oedema,glottis edema
1772	, septic bronchitis,bacterial bronchitis
1773	, organizing pneumonia,pneumonia organizing,organising pneumonia,organized pneumonia
1774	, acute failure respiratory,arf,acute respiratory failure
1775	, calcifications lung,calcification lung,calcification of lung,lung calcification,calcification lungs,calcifications lungs,pulmonary calcification
1776	, pleura thickening,fibrothorax,fibrosis pleura,fibrosis pleural,pleural fibrosis,pleural thickenning,pleural thickening
1777	, dysphonia spastic,spastic dysphonia,dysphonia spasmodic,spasmodic dysphonia
1778	, heart failure acute,acute heart failure,acute failure heart,acute cardiac failure
1779	, dilated ventricles,ventricular dilatation
1780	, subacute infective endocarditis,subacute endocarditis
1781	, conduction disorders,cardiac conduction defects,conduction defect,conduction defects,conduction disorder,conductions defect
1782	, second degree av block,second degree heart block,2nd degree heart block,av block degree second
1783	, wenckebach block,wenckebach,wenckebach phenomenon,mobitz i
1784	, intraventricular block
1785	, systemic vasculitis,systemic vasculities,polyangitis
1786	, purple syndrome toe,cholesterol embolisation,purple toes syndrome,purple toe syndrome,cholesterol embolization
1787	, artery occlusions,arteries block,arterial occlusion,arterial occlusions,artery obstructions,artery blocked,arterial obstruction,arterys blocked,occlusion artery,artery block,arteries blocked,blocked artery,artery occlusion,arteries obstruction,artery blocking,artery obstruction,occlusion arterial
1788	, hemorrhoid bleeding,hemorrhoidal bleeding,bleeding haemorrhoids,bleeding hemorrhoid,hemorrhoids bleeding,bleed hemorrhoids,bleeding piles,bleeding hemorrhoids,bleeding hemorrhoidal
1789	, inferior vena cava obstruction,inferior vena cava syndrome,ivc obstruction
1790	, cerebral vasospasm,cerebrovascular spasm
1791	, diseases pericardium,pericardial disease,pericardial diseases
1792	, metaphyseal dysplasia,pyle disease
1793	, pulmonary hypoplasia,hypoplasia lungs,lung hypoplasia,hypoplasia lung
1794	, malformation breast,congenital anomaly of breast,breast malformations
1795	, malformation of ear,ear malformations,birth defects ear,congenital ear anomaly,ear malformation,congenital anomaly ear,congenital ear malformation
1796	, ovum blighted,blighted ovums,blight ovum,anembryonic pregnancy,blighted ovum
1797	, lip pain,lips pain,lipped pain
1798	, lip sores,lips ulcers,lip ulcer,lip ulcers
1799	, gastroduodenitis
1800	, mesenteric infarction
1801	, mesenteric thrombus,mesenteric thrombosis,mesenteric venous thrombosis,mesenteric vein thrombosis,thrombosis mesenteric
1802	, acute gastroenteritis,gastroenteritis acute
1803	, stenosis of intestine,intestine stricture,intestinal stenosis,stricture intestinal,intestinal stricture
1804	, colon ulcer,intestine large ulcers,colonic ulcer,colon ulcers,large intestine ulcer,ulcer colon,colonic ulcers,colon ulcerations,colon ulceration
1805	, colonic atony,atonic colon
1806	, abscesses perirectal,perirectal abscess,peri rectal abscess,peri-rectal abscess,abscess perirectal
1807	, proctorrhagia,rectorrhagia,bleeding per rectum,rectum hemorrhage,bleed rectal,rectum bleeding,bleed rectum,bleeds rectal,blood per rectum,rectal blood loss,rectum bleed,bleeding rectal,per rectum bleed,rectal bleeding,per rectum bleeding,rectal hemorrhage,rectal bleed,bleeding rectum
1808	, cyst livers,cyst of liver,liver cyst,of liver cyst,cysts hepatic,cysts liver,cyst hepatic,hepatic cyst,cyst liver
1809	, acalculous cholecystitis,cholecystitis acalculous
1810	, bile duct stenosi,of bile duct stenosis,hepatic duct stenosis,bile duct stenosis
1811	, hemorrhagic pancreatitis,acute hemorrhagic pancreatitis,hemorrhage pancreatitis
1812	, acute necrotizing pancreatitis,acute necrotising pancreatitis,necrotizing pancreatitis,necrotising pancreatitis
1813	, pancreatic necrosis,necrosis pancreas,necrosis of pancreas,pancreas necrosis
1814	, hyperproteinemia
1815	, fluid electrolyte disorders,disorder of fluid and/or electrolyte,electrolyte fluid disorder
1816	, fluid retention,retention fluid,body fluid retention,of fluid retention,fluids retention,retention of fluid
1817	, hyperosmolality
1818	, acidemias,acidaemia,acidemia
1819	, low copper,hypocupraemia,copper deficiency,hypocupremia
1820	, cholinesterase deficiency,pseudocholinesterase deficiency,plasma cholinesterase deficiency
1821	, amyloid cardiomyopathy,amyloidosis transthyretin,amyloid heart disease,cardiac amyloidosis,transthyretin amyloidosis
1822	, type 2 renal tubular acidosis,proximal renal tubular acidosis,acidosis proximal renal tubular
1823	, nags deficiency,aga deficiency
1824	, hypermethioninaemia,hypermethioninemia
1825	, renal glomerular disease,glomerular diseases,diseases glomerular,disease glomerular,glomerular disease
1826	, acute nephritic syndrome,acute nephritis
1827	, bladder contracted,bladder contracts,contracted bladder
1828	, scrotum disease,scrotum disorder,scrotum diseases,disease of scrotum,disorder scrotum,disorders scrotum
1829	, penis bleeding,bleed penis,bleeding penis,penile bleeding,bleeds penis,penis hemorrhage
1830	, uterine cyst,uterus cyst,cyst uterus,cysts uterine,cysts uterus
1831	, cervix ectropion,ectopy cervix,cervical eversion
1832	, cervix squamous metaplasia,cervix metaplasia squamous,squamous metaplasia cervix,cervical squamous metaplasia,squamous metaplasia of cervix
1833	, antepartum bleeding,antepartum hemorrhage,antepartum haemorrhage
1834	, failing induction,failed induction
1835	, hypertonic uterine dysfunction,uterine hyperstimulation,contractions hypertonic uterine
1836	, vomit newborn,newborn vomiting,neonatal vomitting,vomiting newborn,neonatal vomiting,newborns vomitting,vomiting in newborn
1837	, gray syndrome,grey syndrome,grey baby syndrome,gray baby syndrome
1838	, psychotic depression,depression psychotic
1839	, generalised anxiety disorder,generalized anxiety disorder,generalized anxiety disorders,gads,anxiety disorder generalize,anxiety disorder generalized,gad,anxiety disorders generalized
1840	, leukoencephalopathies,leukoencephalopathy,brain disease matter white
1841	, abscesses epidural,epidural abscess
1842	, headache post lumbar puncture,post lumbar puncture headache,post-lumbar puncture headache,spinal headache,lumbar puncture headache,headache spinal,dural headache post puncture,dural headaches post puncture,headaches spinal,headaches lumbar puncture,post dural puncture headache
1843	, parkinsonism due to drug,drug induced parkinsons,drug induced parkinsonism
1844	, benign essential tremors,essential tremor,tremor essential,benign essential tremor syndrome,physiological tremor,essential benign tremors,essential benign tremor,benign essential tremor,essential tremors
1845	, radiation myelopathy
1846	, peroneal palsy,peroneal nerve palsy,nerve palsy peroneal,peroneal nerve paralysis
1847	, seizures tonic,tonic seizures,convulsions tonic,tonic seizure
1848	, demyelinating polyneuropathies,neuropathy demyelinating,demyelinating neuropathies,polyneuropathy demyelinating,demyelinating polyneuropathy,demyelinated polyneuropathy,demyelinating neuropathy
1849	, neuropathy peripheral toxic,toxic neuropathy,neuropathies toxic,neuropathy toxic
1850	, infant floppy,floppy infant,babies floppy,hypotonia congenital,congenital hypotonia,neonatal hypotonia,floppy infants,floppy infant syndrome,floppy baby
1851	, myopathies steroid,steroid myopathy,myopathy steroids
1852	, eyes swelling,eye swelled,swollen eye,eye swollen,swollen eyes,eye swelling,eyes swelled,eyes swollen,swelling eye,swelling of eye,eye swells,eye swell
1853	, retinal scars,retinal scarring,retina scar,retinal scar
1854	, retinal cotton wool spots,cotton spot wools,cotton wool spot,cotton wool spots,cotton wool exudates
1855	, one eye blindness,blindness one eye,blind eye,blinding eye,unilateral blindness
1856	, chemosis
1857	, allergic blepharitis,contact dermatitis eyelids
1858	, ear blood,blood ear,blooding ear,ears bleeding,bleeding ear,bleeding from ears,bleeding from the ear,bleeds ear,bleeding ears,bleeding from ear,bleed ear,bleedings ear,ear hemorrhage,otorrhagia,blood ears,ear bleed,ear blood discharge,ear bleeding
1859	, chronic otitis media,otitis media chronic,chronic otitis media nos,chronic media otitis
1860	, serous otitis media,media otitis serous,otitis media serous
